component	stdv	percent	cumulative
PC1	48.7926262598743	36.33	0.3633
PC2	24.789781174536	9.38	0.45708
PC3	22.3707593121826	7.64	0.53345
PC4	18.4687940059048	5.2	0.5855
PC5	18.2140873487491	5.06	0.63613
PC6	16.7142525713062	4.26	0.67876
PC7	15.3738714004874	3.61	0.71483
PC8	14.4745755714858	3.2	0.7468
PC9	13.991904875891	2.99	0.77668
PC10	13.7800311498604	2.9	0.80565
PC11	13.2544708765928	2.68	0.83246
PC12	12.3712303538664	2.34	0.85582
PC13	12.1224575579561	2.24	0.87824
PC14	11.6377599290655	2.07	0.89891
PC15	11.2951498025383	1.95	0.91838
PC16	11.2338295611334	1.93	0.93764
PC17	10.7594564931563	1.77	0.95531
PC18	10.5778103805462	1.71	0.97238
PC19	9.93999249273849	1.51	0.98746
PC20	9.06584113152554	1.25	1
PC21	1.23641758463775e-13	0	1
