Well,Conc. [ng/µl],Sample Description,Alert,Observations
A1,20.3,Electronic Ladder,,Ladder
B1,1.71,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
C1,2.41,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
D1,0.148,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
E1,0.311,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
F1,0.0774,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
G1,2.13,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Markers outside standard running position
H1,0.0929,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
A2,0.577,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
B2,0.263,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
C2,0.950,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
D2,0.638,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
E2,0.641,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
F2,0.161,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
G2,0.385,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
H2,0.472,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
A3,0.316,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
B3,0.0397,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
C3,0.113,,!,Caution! Expired ScreenTape device (used after two weeks of first use)
D3,1.25,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
E3,0.855,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
F3,0.546,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
G3,0.829,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
H3,1.19,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
A4,0.458,,!,Caution! Expired ScreenTape device (used after two weeks of first use); Peak out of Sizing Range
